Date,Open,High,Low,Close,Adj Close,Volume
2018-01-20,1.562840,1.628330,1.502740,1.578620,1.578620,2346449920
2018-01-21,1.576230,1.576230,1.343030,1.380040,1.380040,2840750080
2018-01-22,1.391610,1.428410,1.163080,1.357350,1.357350,2642510080
2018-01-23,1.353190,1.434720,1.204260,1.337070,1.337070,2977080064
2018-01-24,1.352120,1.424960,1.307840,1.357150,1.357150,1853440000
2018-01-25,1.363250,1.384840,1.292870,1.312230,1.312230,986067968
2018-01-26,1.308920,1.326020,1.135000,1.217270,1.217270,2037570048
2018-01-27,1.217890,1.239480,1.189440,1.219110,1.219110,689100992
2018-01-28,1.223890,1.438120,1.223890,1.399600,1.399600,1327360000
2018-01-29,1.399210,1.405250,1.299130,1.323970,1.323970,1073680000
2018-01-30,1.328180,1.328180,1.131130,1.138560,1.138560,1134640000
2018-01-31,1.130660,1.190930,1.036610,1.162390,1.162390,1264029952
2018-02-01,1.160880,1.162600,0.930378,0.962530,0.962530,1410419968
2018-02-02,0.960642,0.960642,0.635185,0.884784,0.884784,3529760000
2018-02-03,0.891992,0.974799,0.761635,0.924043,0.924043,1988960000
2018-02-04,0.913418,0.952947,0.796821,0.815703,0.815703,1190960000
2018-02-05,0.825943,0.833866,0.675827,0.691799,0.691799,1286179968
2018-02-06,0.705121,0.786004,0.588360,0.776393,0.776393,2361139968
2018-02-07,0.774576,0.805478,0.706950,0.723895,0.723895,1133369984
2018-02-08,0.729252,0.806970,0.722611,0.805263,0.805263,947315008
2018-02-09,0.797140,0.954428,0.771540,0.954428,0.954428,1690339968
2018-02-10,0.947251,1.300590,0.947251,1.070740,1.070740,4682010112
2018-02-11,1.067330,1.075100,0.929767,1.004160,1.004160,2555310080
2018-02-12,1.006500,1.106730,1.006500,1.081010,1.081010,1756290048
2018-02-13,1.079740,1.082930,1.014710,1.027410,1.027410,921100032
2018-02-14,1.026080,1.165100,1.021290,1.141620,1.141620,1457600000
2018-02-15,1.139050,1.163960,1.111470,1.146860,1.146860,1188530048
2018-02-16,1.144940,1.151840,1.112610,1.138030,1.138030,568339008
2018-02-17,1.137430,1.217590,1.132520,1.204980,1.204980,1186729984
2018-02-18,1.204780,1.207340,1.093360,1.120460,1.120460,1113650048
2018-02-19,1.123150,1.166430,1.120970,1.144420,1.144420,556304000
2018-02-20,1.144550,1.174480,1.083650,1.089460,1.089460,806673024
2018-02-21,1.081990,1.095880,0.998881,1.015390,1.015390,871526016
2018-02-22,1.012260,1.047320,0.922458,0.941788,0.941788,889707008
2018-02-23,0.934176,1.027210,0.898286,0.998855,0.998855,896403968
2018-02-24,0.997659,1.013940,0.929456,0.954402,0.954402,489920000
2018-02-25,0.951977,0.967597,0.915279,0.943487,0.943487,360271008
2018-02-26,0.943704,0.970906,0.913403,0.956859,0.956859,458612992
2018-02-27,0.959302,0.972580,0.944977,0.947305,0.947305,312712992
2018-02-28,0.944697,0.955550,0.903787,0.904583,0.904583,329529984
2018-03-01,0.904131,0.953796,0.890630,0.928347,0.928347,475256992
2018-03-02,0.926638,0.933912,0.902286,0.910144,0.910144,271036000
2018-03-03,0.908786,0.926512,0.903604,0.907804,0.907804,280852992
2018-03-04,0.906008,1.026310,0.895618,1.005540,1.005540,797225984
2018-03-05,1.014290,1.080210,0.956116,0.959368,0.959368,1706819968
2018-03-06,0.954448,0.991306,0.916863,0.922887,0.922887,875180032
2018-03-07,0.924378,0.930659,0.824895,0.871210,0.871210,809598016
2018-03-08,0.872508,0.888562,0.825387,0.825857,0.825857,499496000
2018-03-09,0.826122,0.856182,0.751485,0.849761,0.849761,989203008
2018-03-10,0.854872,0.860443,0.793736,0.796627,0.796627,402670016
2018-03-11,0.795765,0.840407,0.775737,0.831122,0.831122,472972000
2018-03-12,0.832127,0.838328,0.787882,0.801048,0.801048,355031008
2018-03-13,0.798451,0.805729,0.778471,0.789711,0.789711,279679008
2018-03-14,0.789569,0.799080,0.676010,0.701902,0.701902,479148992
2018-03-15,0.702913,0.730673,0.643845,0.697269,0.697269,888345024
2018-03-16,0.699063,0.711780,0.674463,0.689260,0.689260,502740000
2018-03-17,0.687745,0.689434,0.626709,0.637856,0.637856,319824000
2018-03-18,0.634466,0.677591,0.548815,0.658777,0.658777,923606016
2018-03-19,0.672126,0.749080,0.640012,0.749080,0.749080,1096930048
2018-03-20,0.736759,0.736759,0.673427,0.709808,0.709808,814275968
2018-03-21,0.713055,0.720610,0.679162,0.693664,0.693664,527324000
2018-03-22,0.693145,0.701351,0.636741,0.662743,0.662743,449041984
2018-03-23,0.663111,0.663111,0.625258,0.643174,0.643174,387164000
2018-03-24,0.646214,0.679608,0.640516,0.641265,0.641265,390740000
2018-03-25,0.638632,0.657213,0.631901,0.641875,0.641875,229352000
2018-03-26,0.642683,0.644121,0.585922,0.599463,0.599463,384504992
2018-03-27,0.599026,0.604332,0.565132,0.577917,0.577917,351380992
2018-03-28,0.577511,0.594023,0.572828,0.578002,0.578002,258298000
2018-03-29,0.577767,0.578640,0.511511,0.511511,0.511511,420550016
2018-03-30,0.513268,0.531276,0.484362,0.509565,0.509565,518219008
2018-03-31,0.510617,0.529406,0.505167,0.512353,0.512353,293208000
2018-04-01,0.513854,0.515437,0.466223,0.485081,0.485081,297868992
2018-04-02,0.486067,0.510446,0.478596,0.500688,0.500688,262342000
2018-04-03,0.501533,0.562698,0.499658,0.558044,0.558044,578238976
2018-04-04,0.554569,0.563117,0.498487,0.501631,0.501631,415257984
2018-04-05,0.501950,0.505882,0.484490,0.495801,0.495801,358755008
2018-04-06,0.494781,0.498090,0.465615,0.476431,0.476431,218156000
2018-04-07,0.476851,0.495667,0.474575,0.487867,0.487867,209076000
2018-04-08,0.488227,0.501418,0.487591,0.500398,0.500398,137548000
2018-04-09,0.501201,0.512142,0.482573,0.491855,0.491855,271775008
2018-04-10,0.492134,0.493645,0.482839,0.491931,0.491931,154495008
2018-04-11,0.492568,0.548455,0.489026,0.539506,0.539506,341707008
2018-04-12,0.538657,0.644518,0.506543,0.628737,0.628737,1346739968
2018-04-13,0.630093,0.693112,0.605816,0.638087,0.638087,1245170048
2018-04-14,0.637380,0.661508,0.616307,0.632184,0.632184,626268032
2018-04-15,0.634883,0.682534,0.634143,0.682534,0.682534,609636992
2018-04-16,0.682296,0.687165,0.638610,0.663297,0.663297,531996000
2018-04-17,0.664890,0.677356,0.654346,0.656933,0.656933,442352992
2018-04-18,0.657052,0.721426,0.657052,0.708932,0.708932,624049024
2018-04-19,0.712059,0.791976,0.706841,0.791976,0.791976,878328000
2018-04-20,0.791172,0.938354,0.791172,0.924465,0.924465,2344069888
2018-04-21,0.925021,0.925021,0.821113,0.873103,0.873103,1563970048
2018-04-22,0.866820,0.911901,0.848091,0.869995,0.869995,946398976
2018-04-23,0.866578,0.886290,0.863304,0.876657,0.876657,674545024
2018-04-24,0.876012,0.965610,0.873566,0.934781,0.934781,1572930048
2018-04-25,0.932771,0.932771,0.779231,0.800607,0.800607,1614050048
2018-04-26,0.801774,0.852414,0.771787,0.852414,0.852414,1028590016
2018-04-27,0.851139,0.859641,0.813885,0.813885,0.813885,673793024
2018-04-28,0.812063,0.887591,0.812063,0.863804,0.863804,788718976
2018-04-29,0.864399,0.904945,0.834480,0.872778,0.872778,896313984
2018-04-30,0.871404,0.876788,0.831208,0.837938,0.837938,575363968
2018-05-01,0.838355,0.842069,0.797826,0.841407,0.841407,630809024
2018-05-02,0.839355,0.864280,0.831713,0.859094,0.859094,544425984
2018-05-03,0.858980,0.892916,0.847319,0.884466,0.884466,725228992
2018-05-04,0.881536,0.927695,0.866922,0.895442,0.895442,1007609984
